"player","avg_min_per_game","SalaryMean"
"John Collins",29.9853448275862,45125000
"John Wall",32.2,23834855
"Jonas Valančiūnas",29.3962962962963,22785000
"Jordan Poole",28.7206896551724,51980279.8
"Josh Giddey",31.5,9271282.33333333
"Josh Hart",33.0154545454545,12960000
"Josh Okogie",18.9325581395349,1836090
"Josh Richardson",29.14,12196094
"Jrue Holiday",32.62,48211662.6666667
"Juan Toscano-Anderson",18.9090909090909,1836090
"Juancho Hernangómez",15.05,1836090
"Julius Randle",36.441958041958,39916800
"Justin Holiday",28.4538461538462,6292440
"Justise Winslow",20.7608695652174,4097561
"Jusuf Nurkić",26.4494623655914,31093750
"Karl-Anthony Towns",33.6209677419355,80533350
"Kawhi Leonard",34.1,60853445.3333333
"Keldon Johnson",30.2843971631206,30374605
"Kelly Olynyk",28.4376,1.4e+07
"Kelly Oubre Jr.",29.7920634920635,5e+06
"Kemba Walker",28.9325,9165471
"Kendrick Nunn",29.5,5250000
"Kentavious Caldwell-Pope",29.3625,16579393
"Keon Johnson",22.15,4257590.33333333
"Kessler Edwards",20.6,1782931
"Kevin Durant",35.6919540229885,87798492.75
"Kevin Huerter",30.1394495412844,28872767.75
"Kevin Love",24.5689655172414,28942830
"Kevin Porter Jr.",31.5190476190476,18882526.2
"Kevon Looney",20.4736842105263,14333333.3333333
"Khem Birch",22.5194444444444,10318750
"Khris Middleton",32.9074626865672,39172414
"Killian Hayes",25.248275862069,10332835
"Klay Thompson",29.4,63519480
"Kristaps Porziņģis",29.5868965517241,34924800
"Kyle Anderson",26.5025,13609756
"Kyle Kuzma",31.865306122449,1.3e+07
"Kyle Lowry",34.2798165137615,43849207
"Kyrie Irving",35.8433734939759,36934550
"LaMelo Ball",31.2764150943396,15212595
"Landry Shamet",21.8153846153846,18875000
"Larry Nance Jr.",27.4734693877551,17610909
"Lauri Markkanen",29.3057471264368,25013332
"LeBron James",35.5069306930693,69618181.6666667
"Lonnie Walker IV",25.0727272727273,6479000
"Lonzo Ball",32.8888888888889,27286822
"Luguentz Dort",31.1359223300971,26400000
"Luka Dončić",34.8458015267176,78644580
"Luke Kennard",22.98,20223544.6666667
"Malcolm Brogdon",34.1086956521739,37533333.3333333
"Malik Beasley",30.2,16041070.5
"Malik Monk",28.1,14681939.5
"Marcus Morris",28.0915662650602,25302325.5
"Marcus Smart",32.5327586206896,34242211.5
"Marvin Bagley III",24.7304347826087,20833333.3333333
"Mason Plumlee",25.5550387596899,9080417
"Matisse Thybulle",24.7413793103448,4379527
"Maurice Harkless",20.7742857142857,4564980
"Maxi Kleber",26.0426229508197,18750000
"Michael Porter Jr.",31.0285714285714,59775920
"Mikal Bridges",33.7714285714286,39975000
"Mike Conley",28.9317073170732,30680000
"Mitchell Robinson",26.2736263736264,25738636.5
"Mo Bamba",25.0310810810811,10300000
"Monte Morris",29.2275862068966,14363426
"Myles Turner",30.2449438202247,1.8e+07
"Nassir Little",24.892,12034309.6
"Nerlens Noel",23.8403846153846,9460000
"Nickeil Alexander-Walker",23.2509090909091,5009633
"Nicolas Batum",25.8739130434783,17132493
"Nikola Jokić",34.0424657534247,85263633.8333333
"Nikola Vučević",33.3769953051643,2.2e+07
"Norman Powell",32.3449494949495,33051723.75
"OG Anunoby",34.7241758241758,24857142.6666667
"Otto Porter Jr.",21.9333333333333,6150000
"P.J. Tucker",27.8985294117647,14686000
"P.J. Washington",29.461797752809,5808435
"Pascal Siakam",36.9516129032258,55617744
"Pat Connaughton",25.4434782608696,15567901.75
"Patrick Beverley",24.2795454545455,1.3e+07
"Patrick Williams",27.55125,13723581
"Patty Mills",28.9142857142857,10042450
"Paul George",34.0647058823529,60853445.3333333
